"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","station"
"40","40","Good Hope Rd & MLK Ave SE","31802","1425656202638","38.867373","-76.988039","true","false","0","","false","true","6","5","1425656202638","Good Hope Rd & MLK Ave SE (31802)"
"41","41","19th & E Street NW","31206","1425660874314","38.8952","-77.0436","true","false","0","","false","true","5","6","1425660874314","19th & E Street NW (31206)"
"42","42","4th & W St NE","31500","1425662988880","38.919077","-77.000648","true","false","0","","false","true","9","5","1425662988880","4th & W St NE (31500)"
"43","43","10th & U St NW","31111","1425659909196","38.9172","-77.0259","true","false","0","","false","true","13","2","1425659909196","10th & U St NW (31111)"
"44","44","Georgia Ave and Fairmont St NW","31207","1425662683439","38.9249","-77.0222","true","false","0","","false","true","9","1","1425662683439","Georgia Ave and Fairmont St NW (31207)"
"45","45","1st & N St  SE","31209","1425636130775","38.8743","-77.0057","true","false","0","","false","true","32","7","1425636130775","1st & N St  SE (31209)"
"46","46","20th St & Florida Ave NW","31110","1425663786140","38.9154","-77.0446","true","false","0","","false","true","10","2","1425663786140","20th St & Florida Ave NW (31110)"
"47","47","7th & T St NW","31109","1425654781214","38.9155","-77.0222","true","false","0","","false","true","10","4","1425654781214","7th & T St NW (31109)"
"48","48","23rd & Eads St","31013","1425647056929","38.853531","-77.053509","true","false","0","","false","true","1","14","1425647056929","23rd & Eads St (31013)"
"49","49","M St & New Jersey Ave SE","31208","1425654768240","38.8763","-77.0037","true","false","0","","false","true","12","4","1425654768240","M St & New Jersey Ave SE (31208)"
"50","51","Massachusetts Ave & Dupont Circle NW","31200","1425662986904","38.9101","-77.0444","true","false","0","","false","true","27","16","1425662986904","Massachusetts Ave & Dupont Circle NW (31200)"
"51","52","1st & M St NE","31603","1425662862613","38.9057","-77.0056","true","false","0","","false","true","2","12","1425662862613","1st & M St NE (31603)"
"52","53","21st & M St NW","31212","1425663447878","38.90534","-77.046774","true","false","0","","false","true","15","2","1425663447878","21st & M St NW (31212)"
"53","54","17th & K St NW","31213","1425661388412","38.90276","-77.03863","true","false","0","","false","true","9","12","1425661388412","17th & K St NW (31213)"
